pair,top10_freq,top20_freq,appear_in_n_new_seeds,mean_rank,median_rank,rank_sd,rank_iqr,mean_magnitude,magnitude_sd,seed42_rank,seed42_mag
MACCS_62 x geo:signed_dihedral_subst_c_rn1_rn2,0/5,0/5,1,44.0,44,0.0,0.0,0.008521,0.0,65,0.007726
geo:baseline_pm_dihedral_cos x geo:baseline_pm_dihedral_sin,0/5,0/5,2,44.5,44,5.5,5.5,0.008794,0.00057,31,0.010754
3D_Sphero x geo:ringnormal_dot_substvec,0/5,0/5,3,45.0,45,4.08,5.0,0.009077,0.000282,33,0.010265
MolLogP x geo:ringnormal_dot_substvec,0/5,0/5,1,45.0,45,0.0,0.0,0.008504,0.0,85,0.006848
geo:signed_dihedral_subst_c_rn1_rn2 x sPAS_10,0/5,0/5,3,45.33,44,3.4,4.0,0.008848,0.000356,71,0.007398
MACCS_150 x geo:signed_tetra_volume,0/5,0/5,1,46.0,46,0.0,0.0,0.008275,0.0,83,0.00701
geo:signed_tetra_volume x sPAS_0,0/5,0/5,1,46.0,46,0.0,0.0,0.008636,0.0,103,0.006248
PAS_0 x geo:signed_tetra_volume,0/5,0/5,3,46.67,49,4.03,4.5,0.008791,0.000227,56,0.008227
geo:baseline_pm_dihedral_sin x geo:signed_dihedral_subst_c_rn1_rn2,0/5,0/5,2,47.0,47,2.0,2.0,0.008827,0.000249,61,0.007814
ECFP_1325 x PAS_15,0/5,0/5,1,48.0,48,0.0,0.0,0.00893,0.0,104,0.00623
PAS_5 x geo:baseline_pm_dihedral_sin,0/5,0/5,1,48.0,48,0.0,0.0,0.008856,0.0,109,0.006031
dihedral x sPAS_0,0/5,0/5,2,48.0,48,1.0,1.0,0.0084,0.000133,54,0.008407
MACCS_121 x geo:signed_tetra_volume,0/5,0/5,1,49.0,49,0.0,0.0,0.008237,0.0,110,0.005992
